FL,FRHL,ETL,MEL,BEL,LIPL_L,JL,FLL,FLR,DFL_L_R,DFL_R_L,NWL,L_L,L_W,LEL,LEW,REL,REW,FA,Gender,BMI
506.6754385205583,380.7886552931954,456.20718977236646,451.4864339047188,443.180550114736,415.8966217703626,325.2276126038501,435.98623831492665,437.3705522780426,486.0504089083765,494.0698331207847,95.63472172804184,204.2988007796424,41.19465984809196,91.6624241442479,39.56008088970496,99.98499887483122,41.10960958218893,15826398.5,1,21.920814810449205
745.6037821792484,540.2675263237649,646.6506011750085,651.2296062065975,622.8747867749986,584.9316199351853,457.85696456426217,641.2019962539106,627.1794001719126,690.5251624669444,714.1792492084883,140.12851244482687,304.42076144704714,77.00649323271382,140.28898745090436,62.51399843235114,139.0323703315167,58.30951894845301,104703027.0,1,21.116856828461007
674.0867896643576,458.6610949273984,532.580510345619,524.7647091792663,505.2138161214517,471.0212309439989,368.5430775363987,562.0907400055618,573.0078533493237,614.239367022336,599.3413051008582,132.30646242719968,295.6112311804137,100.4987562112089,117.15374513859982,72.78049189171504,132.84953895290718,73.10950690573696,106843369.0,1,20.37820911672205
669.4311017573056,424.8352621899458,514.557091098743,463.4004747515911,507.2524026557193,480.0374985352707,378.1071276768001,540.9482415166908,592.4204587959467,649.6837692293075,539.2327883205917,113.11056537742176,259.2778432492835,95.1262319236918,81.15417426109393,56.61271941887264,142.50614021858848,58.00862004909271,154144551.5,1,21.287767054138868
780.1858752887032,551.2721650872643,641.510716979849,667.0832032063167,606.3992084427551,568.1487481285161,440.01022715386966,691.0115773270372,646.3203540041116,674.2061999121634,761.3678480209156,135.05924625881784,293.0614270080592,84.8528137423857,162.9969324864735,85.05292469985967,124.01612798341996,80.8084154033477,181100490.0,0,20.88318442621241
627.9697444941118,462.8196192902803,536.9739286036148,524.8475969269556,510.6486071654362,478.3565615730592,375.8324094593227,527.6229714483629,534.1834890746811,596.4000335345396,569.4435880752368,125.39936203984452,258.69866640553056,59.682493245507096,112.16059914247964,53.45091205957107,125.89678312014172,52.23983154643591,145213482.0,1,22.067108200480497
308.09901006007794,218.66183937761065,261.8434646883516,262.2918222133508,256.8598839834668,242.90944814889357,194.74342094150447,260.969346858975,258.2343896540505,289.394194827747,293.08360581922693,59.13543776789008,123.40583454602135,35.22782990761707,55.326304774492215,28.635642126552707,58.137767414994535,28.0178514522438,518817.0,1,20.178999338570325
658.9423343510417,467.3596045873028,527.7309920783505,539.2290793345626,495.858850883999,463.0205179039045,365.0383541492593,568.6281737655988,543.7692525327265,580.5945228815029,613.2226349377524,130.6981254647518,274.23530042647684,67.468511173732,132.5745073534124,66.0,113.0,63.24555320336759,111167366.0,1,21.287767054138868
629.7697992123789,463.0950226465407,536.8891878218446,509.2739930528556,496.9678057983233,460.7341966904562,350.2798880895105,531.8740452400361,551.0081669086221,605.3527897020051,563.8758728656512,105.11898020814318,249.45139807184887,58.85575587824864,106.00471687618432,66.70832032063167,137.93114224133723,69.06518659932803,68798583.0,1,22.733009343359853
385.5191305240247,296.14354627443765,352.03692988094303,346.2036972650639,343.8386249390839,322.6840560052511,259.43399931389104,321.90837205639747,331.00151057057127,384.422944164367,379.8644495079791,85.37564055396598,177.63445611704955,47.16990566028302,72.69112738154499,35.510561809129406,84.0535543567314,36.013886210738214,22884163.5,1,23.50168097196133
762.5286879849177,489.9306073312832,580.1879005977288,603.4509093538595,553.9187666075234,517.0348150753487,406.7357864756924,657.8951284209361,613.6383299631796,625.8857723259093,687.1251705475503,132.38202294873727,275.04545078950133,126.64912159190052,147.09180806557515,70.06425622241343,106.30145812734648,62.96824596572466,117041201.5,1,22.608182888107827
333.5386034629275,243.24884377936928,286.14157335137446,272.01654361453825,277.01624501101014,259.0019304947359,203.0098519776811,279.15766154630256,288.17355881482257,333.0240231574893,285.21746089606785,65.00769185258002,133.01503674397117,31.400636936215164,54.037024344425184,31.016124838541646,72.24956747275377,30.265491900843116,70841408.0,1,22.067108200480497
394.689751577109,294.5318318959769,347.0864445638867,347.66938317890464,332.067764168701,312.0833222073874,242.7385424690525,343.4020966738555,338.2499076126999,377.83858987668265,386.5708214544911,76.32168761236873,170.95028517086482,33.13608305156178,76.32168761236873,36.87817782917155,74.54528824815154,38.01315561749642,56524327.0,1,20.57143539343756
563.5326077522045,412.16744170300495,479.7019908234695,450.9478905594304,451.27596878185307,421.7226576791909,323.5954264200902,469.0522358970267,492.6438876105132,550.8983572311683,486.2447943166076,106.53168542738824,231.3114783144148,60.00833275470999,91.92388155425118,57.21887800367987,129.2478239662084,59.481089431852205,51987738.0,0,13.38110943817155
878.6353054595519,689.7919976340694,804.6297285087098,806.7868367790838,755.7909763949289,703.3775657497188,549.713561775585,759.0059288305988,737.499152541886,814.8275891254542,855.5851798622975,169.3576098083579,335.4832335601885,85.37564055396598,175.9232787325202,70.45565981523414,167.10774967068403,67.05221845696084,180639917.0,1,23.4024517856771
426.3578309354714,327.7392256047481,379.3810749101752,360.11248242736605,356.0898762952972,330.0545409474016,252.0,349.48247452483224,365.0493117374692,419.0107397191628,375.5862084794914,86.02325267042627,193.0233146539557,64.28063471995279,76.10519036176179,41.43669871020132,98.85848471426212,43.41658669218482,66779726.5,1,20.75884515275632
533.4810212181873,375.9002527267041,433.8478996146,451.7753866690836,412.9176673381753,387.2415266987775,304.3451987464235,471.85802949616107,443.4974633523849,478.2645711319207,512.8245313945112,101.49384217774002,204.41379601191304,59.07622195096772,110.22250223978769,59.033888572581766,84.5931439302264,56.0,62708649.0,1,20.94060009493431
819.2954290120261,590.7190533578547,700.8031107236897,682.9560747222328,674.641386219375,633.1074158466319,490.762671767118,689.7485048914568,707.7238161882077,769.5622132095624,755.8895421951544,156.92354826475216,349.75562897543193,75.66372975210778,140.91131963046828,67.05221845696084,166.7213243709394,71.02816342831905,71106002.5,1,21.920814810449205
280.064278336242,208.00240383226344,249.0180716333656,248.03225596683995,240.03333101884,226.0553029681012,178.07021087200408,240.75090861718465,236.21176939348305,262.09158704544484,266.11275805567834,52.0,116.0172400981854,22.02271554554524,51.0098029794274,18.43908891458577,52.009614495783374,17.26267650163207,18631681.5,1,20.75884515275632
923.0438776136268,623.0971031869752,738.0433591598802,727.2482382240606,711.0028129339573,666.0007507503276,520.0038461396223,768.346276102123,780.0782012080583,839.4432678865202,823.2472289658799,172.01162751395617,400.0112498418013,140.05713120009278,153.05227865013967,75.50496672405067,172.01162751395617,75.66372975210778,120700767.0,1,23.08416861048232
834.5040443281267,634.0954186871247,742.0,718.0250692002335,712.1186698858555,670.2417474314772,527.5016587651645,693.9812677587198,721.3993346268071,848.4197074561623,768.6644261314556,173.0115603073968,400.1249804748512,111.44954015158608,154.11683879446787,86.14522621712709,194.0927613281856,90.08884503644168,235429578.0,1,18.848017902303656
568.841805777318,432.1446517081983,510.0784253426133,499.2995093127972,493.7053777304841,462.4824320987771,363.08125812275136,484.4336899927585,490.493628908674,556.0188845713785,530.2009053179747,111.44954015158608,218.82641522448796,54.45181356024793,102.0,53.85164807134504,118.45674315968678,53.46026561849464,92209088.5,1,23.299850627170677
237.68256141332708,170.84788555905513,204.79257799051211,205.47749268472205,200.63897926375125,188.59745491389856,152.3975065412817,202.15835377248203,197.46392075515973,224.5551157288562,228.82526084329064,46.17358552246078,98.32598842625484,32.14031735997639,45.27692569068709,26.0,47.09564735726647,26.476404589747453,10467037.5,1,22.20887162339478
498.7714907650597,344.3094538347735,408.0318615010352,384.7492690051536,396.40887981981433,373.2626421167808,298.0603965641863,410.8345165635429,430.22784661153673,476.5091814435479,431.4904402185522,94.19129471453292,193.4373283521048,55.10898293381942,74.10802925459562,47.12748667179272,107.37783756436892,48.16637831516918,33211714.5,1,22.20887162339478
834.3907957306336,627.6894136434038,737.6835364843112,721.8379319487166,712.3327873964528,672.1108539519355,533.8333073160572,704.4863376957711,711.1968785083354,813.0910158155727,777.1286894716987,175.72706109191037,387.7692612882048,63.89053137985315,150.44268011438774,65.76473218982953,173.66922582887275,64.0,237312411.0,1,20.178999338570325
331.1827290182868,245.05101509685693,284.0070421662111,273.00732590903124,274.0072991728505,258.0310058888272,202.08908926510605,277.96582523756405,287.2107240337658,322.9133010577297,292.056501382866,63.00793600809346,130.01538370516005,25.179356624028344,55.08175741568164,25.29822128134704,68.18357573492314,24.73863375370596,18096031.0,1,22.346226986494543
677.2237444153889,484.26645557998336,562.9102948072632,582.3074789147054,534.1348144429456,500.0359987040933,386.0466293079115,580.1456713619434,551.0952730699112,547.6906060907015,653.6206851071958,129.0620006043607,302.42354405700627,94.54099639838792,141.1523999087511,61.84658438426491,110.0272693471941,62.24146527838174,85894781.5,1,21.920814810449205
296.00675667964066,210.02142747824567,249.0180716333656,232.0538730553748,240.20824298928628,226.3183598385248,176.555940143627,241.59884105682292,258.37956575549856,286.174771774173,253.85231927244627,56.0357029044876,126.14277624977184,34.23448553724738,45.09988913511872,24.04163056034261,65.06919393998976,25.495097567963924,15915150.5,0,18.831578600764477
562.2001422980966,435.4595273960601,517.3132513284384,511.7128100800292,514.1176908062978,486.083326190068,387.02067128255567,477.6777156200611,491.1232024655321,574.276936677767,555.850699378889,122.06555615733704,249.0501957437496,44.181444068749045,105.11898020814318,49.8196748283246,123.10158406779338,51.0881590977792,60812680.5,1,21.614131298566463
377.0676331906519,292.43802762294786,333.9371198294673,342.3171044514136,314.4344128749269,293.64093720052045,231.94827009486403,330.0802932621092,309.1035425225664,356.7085645173101,369.2072588668863,75.32595834106593,160.01562423713506,45.044422518220834,84.0535543567314,43.17406628984581,69.58448102845921,40.01249804748511,63089426.0,0,12.670913745961128
597.0226126370759,450.8680516514782,519.950959225964,519.7095342592822,499.684900712439,470.53692735002215,376.1980861195336,498.1445573325077,493.5504026945982,544.4887510316444,560.040177130177,127.66362050325849,258.4143958838207,49.36598018878993,113.0,47.07440918375928,120.0041665943312,50.566787519082126,53261111.5,1,23.193787225274964
903.4876866897524,640.7995006240252,765.0993399552766,756.2916104255024,748.2947280316761,705.311987704732,563.2166545832962,768.2109085400962,777.8232447028053,867.3505634978281,867.3453752686988,174.23260314877925,376.4797471312368,98.12746812182613,157.0286598045083,92.02173656261871,178.63090438107287,88.81441324469807,147011037.5,1,22.608182888107827
665.4697588921679,460.392224087245,545.0917353987309,511.0352238349134,521.0153548601039,486.083326190068,379.3375805268969,545.6491546772523,577.1048431611018,633.7712521091502,561.4846391487482,124.00403219250576,247.07286374670932,93.7709976485267,99.0050503762308,56.04462507680821,140.1748907615055,59.30430001273095,68320192.0,1,21.614131298566463
522.3188681255924,419.1002266761497,493.4632711762852,482.2706708892839,478.4318133234871,448.6568844896955,358.7199464763564,432.255711356137,447.0727010229992,532.7382096302085,523.1873469418006,109.83624174196784,231.65707414193076,75.50496672405067,101.78899744078434,55.78530272392541,123.1665539016173,56.43580423808985,41114114.5,1,23.866593885803205
675.0703667026127,446.2219178839157,543.0653735969547,532.2189399110107,535.7322092239741,504.61965875300575,395.3239178192992,577.8183105440671,592.0304046246274,624.5910662185299,612.4124427214065,114.21471008587292,245.45875417267155,45.39823785126467,104.3072384832424,54.3415126767741,123.40583454602135,56.0357029044876,111411888.0,1,23.866593885803205
548.6638315034079,402.3046109604015,475.2315225234959,454.23452092503936,453.5118521053226,425.205832509386,329.6695315008653,464.65578657754816,480.1760093965545,536.6134549189015,501.5276662358718,99.40824915468536,216.9239498073,51.78802950489621,91.19758768739445,47.53945729601885,112.75194011634566,46.01086828130936,90603822.5,1,22.346226986494543
964.3982579826657,645.7011692725978,781.4173020864076,772.6486911915401,758.4253424035882,714.2443559454986,556.3425203954844,826.2069958551549,825.7003088288147,876.2853416553309,871.1945821686451,166.67633305301626,370.75193863282766,88.95504482602435,156.54072952429985,73.97972695272672,173.27723451163456,73.17103251970687,172976558.0,1,23.299850627170677
684.0263152832645,528.0009469688478,600.0008333327546,595.000840335541,555.0081080488825,516.0087208565375,399.0313270909942,582.9794164462413,576.3445150255184,642.7394495439034,649.8030470842684,137.0,314.00636936215164,80.0,137.6154061142865,78.91767862779544,146.57762448614045,80.75270893288967,46686613.5,1,20.37820911672205
648.3371036736985,474.9484182519192,559.9732136450814,557.1642486735846,536.8388957592399,503.7241308494165,394.5592477689504,553.5648110203538,555.0441423886932,618.1812032082503,605.7061994069402,120.26637102698326,263.486242525108,64.28063471995279,120.14990636700472,54.57105459856901,125.67418191498204,54.0,110416998.0,1,21.769865733315665
1055.2369402176937,772.4124545862786,903.793117920246,896.3598607702154,864.7571913548912,810.6910632293907,638.2045126759916,896.972686317705,891.2968080274943,980.6594719881108,968.8678960518818,198.72845795205075,411.9465984809196,102.82509421342633,187.1309701786425,80.65358020571685,201.2486024796197,78.63841300535,200347371.5,1,21.45347774159381
561.0249548816879,396.1224558138556,472.3557981013888,460.0619523498982,463.51806868772655,436.9862698071874,343.99563950724723,473.0517942043979,485.1855315237667,540.6237138713026,508.43780347255847,105.80170130957252,232.4585984643287,46.87216658103186,93.53608929178084,46.8187996428785,112.78741064498288,47.01063709417264,34700233.0,1,21.614131298566463
810.1956553820811,571.1926119970391,685.9919824604366,687.7106949873616,683.1954332400064,648.0694407237545,519.6085064738644,687.0880584029968,691.2546564038466,774.9354811853694,747.9177762294462,158.61904047118682,327.2002444986862,68.0294054067798,140.80127840328723,67.26812023536856,148.21605850919124,65.0,147516397.0,1,23.08416861048232
583.3052374186263,378.29750197430593,462.6229566288296,452.133829745132,459.85323745734354,433.9043673437731,342.9125252888847,495.2585183517796,509.5586325438909,544.7127683467683,533.1885220069914,99.02019995940222,206.08736011701444,66.007575322837,89.0,52.08646657242167,104.38869670610896,51.47815070493501,641636.0,1,23.78000078656678
602.3163620556892,407.15598976313737,492.4479667944625,500.7084980305408,474.8652440429811,445.14828989899536,350.9558376776201,514.2538283766102,497.0090542434816,520.3844732503075,565.5448700147496,104.34557968596464,234.39496581624783,79.90619500389191,108.25894882179486,50.69516742254631,98.71676655968832,50.0,26374337.0,1,22.346226986494543
559.504244845381,381.4302033137911,454.12883634492977,468.8368586192856,438.45638323555056,411.2383736958408,324.02469041725817,484.1032947625951,460.75155995395176,481.2920111533122,527.8674075939904,103.12128781197411,221.18318200080225,57.55866572463264,107.37783756436892,47.09564735726647,92.02173656261871,44.64302857109943,57370701.0,1,23.08416861048232
658.4010935592377,489.1799259986044,573.7464596840664,565.3830559894769,543.2025404947956,506.8569818005864,397.4166579296847,561.4846391487482,569.4646608877499,634.2002838220747,642.2717493397946,117.09824934643558,251.1772282672137,78.63841300535,122.8087944733601,72.00694410957877,134.08206442324789,72.3394774656273,103793597.0,1,20.178999338570325
879.0039817884785,665.3908625762756,769.1150759151715,764.7699000352982,708.2972539831,652.4078478988431,504.1953986303326,743.3115093956235,734.63596427074,785.1241939973573,837.9289946051515,162.4438364481706,331.3608305156178,142.28492541376264,169.00295855398508,92.76313923105448,175.09426032854418,92.7793080379456,5721678.0,1,19.54371562955003
616.4324780541662,435.6604182158393,525.3046734991037,508.90568870862506,512.765053411404,483.54730895745865,381.2217202626314,514.7475109216168,536.1343115302359,595.8137292812243,567.1701684679828,115.27792503337317,244.3460660620506,68.59300255857006,101.71037311896951,52.172789842982326,125.25573839150046,53.009433122794285,59924853.0,1,23.193787225274964
1106.9150825605368,726.4819337051679,869.2180393894273,823.8379695061402,852.234709455089,803.0622640866648,633.0505509041122,915.6789830502828,980.0020408142016,1049.3826756717494,971.8893969994734,207.1183236703117,429.0943952092593,119.3649864910142,157.71493271088823,95.1262319236918,225.22211259110412,103.0,181450240.0,1,21.769865733315665
733.2973476019124,509.3456586641335,605.0694175051323,612.1478579559026,574.543296888929,534.7335785229875,419.6403221807933,619.7192912924367,604.0298005893418,641.0304204950028,681.8247575440481,133.5402561027947,293.24563082849164,135.18135966175217,137.71347065556077,63.150613615387776,128.56126943990557,63.12685640834652,105794289.0,1,23.08416861048232
615.0032520239222,431.3757063164313,515.190256119038,532.0,507.03550171560966,477.0041928536897,384.0325507037131,526.2432897434418,501.5276662358718,562.9440469531586,590.7029710438234,123.06502346320826,260.0307674103201,97.32933781753576,123.0,60.29925372672534,106.1178590059185,60.40695324215582,109534479.5,1,24.941979307575316
475.1515547696335,333.073565447635,398.02009999496255,392.0459156782532,391.0,370.00540536592166,293.01535795927146,400.2024487681204,410.0780413531064,451.7742799230607,432.0428219517135,95.0,202.00990074746335,34.132096331752024,80.05623023850174,33.24154027718932,91.02197536858888,34.36568055487916,23509779.5,1,21.45347774159381
898.2455120956631,631.0,744.0329293788011,710.0028168958205,721.2246529341603,677.3573650592425,535.5837936308379,752.5981663543965,779.236806112237,860.6143154747078,810.3493073977419,162.02777539668932,338.09466130064817,83.09632964216891,139.00359707575916,76.79192665899195,179.02513789968157,73.824115301167,178918080.5,1,21.614131298566463
410.9549853694441,305.3686296920494,378.382082028206,380.01184192074857,380.3366929445541,361.354396680046,290.2912330746487,355.36038045904894,353.2760959929217,413.7305886685199,420.3450963196788,80.09993757800315,175.13994404475525,35.22782990761707,77.00649323271382,39.0,82.60750571225353,38.3275357934736,51176550.0,1,23.4024517856771
869.3313522472314,628.1560315717744,735.1741290333875,727.2227994225703,702.1602381223249,657.1712105684485,516.1395160225576,738.6162738526684,738.7827826905551,805.8808844984475,804.6924878486191,167.0478973228936,352.115038020247,82.15229759416349,155.0290295396317,73.54590403278758,168.2973558912914,73.55270219373317,191302757.0,0,18.028643440252107
1119.4293188942302,811.061649937907,977.2947354815742,947.2328119316812,951.7194964904312,893.8081449617697,696.9827831446054,941.543944805552,971.4669320157016,1077.898882084957,1033.4302105125437,212.11553455605272,449.40182465139145,105.01904589168576,188.0239346466295,84.01190391843289,226.01991062736045,86.83317338436964,73738488.5,1,22.20887162339478
985.8950248378374,747.6021669310489,858.6343808630073,847.1912416922167,815.5519603311612,761.4788243936925,601.3667766014348,833.3894647762233,837.7738358292171,918.629413855228,913.8282114270712,203.15757431117356,404.4947465666272,91.19758768739445,181.04419349981927,84.75848040166836,199.5720421301541,85.37564055396598,70217173.0,1,22.970899022115542
943.0429470602068,643.1523925167347,760.1289364311821,759.2634588863078,724.0441975459786,677.0361881022313,529.0151226571883,803.2060756742319,794.6628215790645,830.1867259839801,845.4897988740017,168.02678357928536,363.0881435684729,96.00520819205592,163.19620093617377,76.2954782408499,170.23806859806652,76.68767828015137,214349120.0,1,23.08416861048232
547.5216890681136,346.97838549396704,413.48397792417546,389.0822535146007,405.7104879097902,382.4722212135151,304.16442921551493,455.7236004421978,477.285030144462,507.57856534727705,451.64255778214704,94.13288479590966,191.26160095534075,54.12947441089743,74.10802925459562,44.94441010848846,105.80170130957252,46.09772228646444,21992773.5,1,21.769865733315665
491.02545758850425,340.05293705539435,399.0801924425716,388.2177224187479,381.1312110021954,357.14002856022734,282.177249260106,412.5869605307468,418.1506905411015,443.40162381299416,429.424032862624,85.0235261559999,180.04443895883037,44.04543109109048,79.05694150420949,34.20526275297414,92.02173656261871,35.4400902933387,44330086.5,1,21.920814810449205
693.8508485258197,474.43650787012587,571.1926119970391,542.6932835405281,566.9038719218629,537.4923255266069,430.0569729698613,558.6591089385369,601.9169377912538,682.2213716969002,599.2411868354844,140.4314779527724,326.67568014775753,123.0447073221762,104.3072384832424,57.24508712544685,154.72879499304582,59.0,112347841.5,1,23.299850627170677
545.4145212588312,391.6797160946683,462.2477690589756,444.4007200714239,444.6268098079557,417.96770210149015,327.81854737034024,457.4111935665764,470.6506135128265,516.9081156259786,487.887282064208,101.78899744078434,212.1980207259248,42.72001872658765,88.84255736976509,40.24922359499622,109.4440496326776,40.0,16455162.5,1,22.067108200480497
935.1497206330118,686.6039615382364,807.4682656302971,823.9908980079816,783.7327350570474,738.9188047410893,598.2641557038162,789.172351264285,755.4985109184531,869.9080411169907,900.997225300944,193.4941859591652,423.72750677764594,148.78844041120936,188.06647760831805,91.08786966440702,173.80736463107655,88.32326986700618,120835929.0,1,22.733009343359853
564.63970813254,424.20867506452527,503.2891812864648,486.2612466565684,489.981632308804,462.7882885294312,369.3913913452776,475.60172413480586,486.2016042754281,562.0008896790112,528.5536869609368,109.22453936730518,235.54405108174564,45.5411901469428,98.08159868191385,52.630789467763066,118.6086000254619,51.15662224971465,17162429.0,1,22.970899022115542
565.305227288763,426.3812847675188,500.503746239726,496.42421375271374,470.0638254535229,437.83101763123176,339.2418016695466,490.0091835874099,481.7385182855944,535.3849082669402,541.6133307074338,102.48902380255166,223.72527796384568,47.16990566028302,106.36728820459794,59.00847396772772,108.16653826391968,56.51548460377917,17634781.0,0,17.813126963803853
